split,image,mode,orig_w,orig_h,out_w,out_h,orig_aspect,out_aspect,pad_left,pad_right,pad_top,pad_bottom,labels_in,labels_out,labels_dropped
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,aspect,3076,1536,3076,1628,2.0026041666666665,1.8894348894348894,0,0,46,46,1,1,0
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,aspect,2917,1316,2917,1544,2.216565349544073,1.8892487046632125,0,0,114,114,1,1,0
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,aspect,1976,976,1976,1046,2.0245901639344264,1.8891013384321225,0,0,35,35,2,2,0
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,aspect,2872,1316,2872,1520,2.182370820668693,1.8894736842105264,0,0,102,102,2,2,0
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,aspect,2868,1504,2868,1518,1.9069148936170213,1.8893280632411067,0,0,7,7,2,2,0
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,aspect,2860,1316,2860,1514,2.1732522796352582,1.8890356671070012,0,0,99,99,2,2,0
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,aspect,2868,1504,2868,1518,1.9069148936170213,1.8893280632411067,0,0,7,7,2,2,0
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,aspect,2844,1316,2844,1505,2.161094224924012,1.889700996677741,0,0,94,95,1,1,0
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,aspect,2954,1316,2954,1563,2.24468085106383,1.889955214331414,0,0,123,124,1,1,0
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,aspect,2512,1504,2842,1504,1.6702127659574468,1.889627659574468,165,165,0,0,2,2,0
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,aspect,2983,1316,2983,1579,2.2667173252279635,1.889170360987967,0,0,131,132,2,2,0
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,aspect,2942,1316,2942,1557,2.235562310030395,1.8895311496467566,0,0,120,121,1,1,0
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,aspect,2862,1316,2862,1515,2.174772036474164,1.889108910891089,0,0,99,100,2,2,0
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,aspect,2839,1316,2839,1502,2.157294832826748,1.8901464713715046,0,0,93,93,1,1,0
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,aspect,2950,1316,2950,1561,2.2416413373860182,1.8898142216527867,0,0,122,123,1,1,0
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,aspect,2884,1504,2884,1526,1.9175531914893618,1.889908256880734,0,0,11,11,1,1,0
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,aspect,2846,1316,2846,1506,2.162613981762918,1.8897742363877823,0,0,95,95,1,1,0
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,aspect,2856,1316,2856,1511,2.1702127659574466,1.8901389808074123,0,0,97,98,3,3,0
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,aspect,2964,1316,2964,1569,2.2522796352583585,1.8891013384321225,0,0,126,127,1,1,0
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,aspect,2906,1316,2906,1538,2.208206686930091,1.8894668400520156,0,0,111,111,1,1,0
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,aspect,2964,1316,2964,1569,2.2522796352583585,1.8891013384321225,0,0,126,127,1,1,0
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,aspect,2884,1504,2884,1526,1.9175531914893618,1.889908256880734,0,0,11,11,1,1,0
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,aspect,2836,1316,2836,1501,2.155015197568389,1.8894070619586942,0,0,92,93,1,1,0
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,aspect,2799,1316,2799,1481,2.1268996960486324,1.8899392302498312,0,0,82,83,1,1,0
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,aspect,2833,1316,2833,1499,2.1527355623100304,1.8899266177451635,0,0,91,92,1,1,0
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,2,2,0
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,aspect,2824,1316,2824,1494,2.1458966565349544,1.890227576974565,0,0,89,89,3,3,0
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,aspect,2890,1316,2890,1529,2.196048632218845,1.8901242642249836,0,0,106,107,1,1,0
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,2,2,0
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,aspect,2480,1504,2842,1504,1.648936170212766,1.889627659574468,181,181,0,0,1,1,0
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,aspect,2824,1316,2824,1494,2.1458966565349544,1.890227576974565,0,0,89,89,1,1,0
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,aspect,2942,1316,2942,1557,2.235562310030395,1.8895311496467566,0,0,120,121,1,1,0
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,2,2,0
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,aspect,2868,1504,2868,1518,1.9069148936170213,1.8893280632411067,0,0,7,7,3,3,0
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,aspect,2729,1316,2729,1444,2.07370820668693,1.8898891966759004,0,0,64,64,1,1,0
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,aspect,2828,1316,2828,1497,2.148936170212766,1.8891115564462257,0,0,90,91,1,1,0
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,aspect,2727,1316,2727,1443,2.0721884498480243,1.8898128898128899,0,0,63,64,1,1,0
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,2,2,0
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,aspect,2868,1504,2868,1518,1.9069148936170213,1.8893280632411067,0,0,7,7,1,1,0
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,aspect,1976,976,1976,1046,2.0245901639344264,1.8891013384321225,0,0,35,35,2,2,0
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,aspect,2556,1504,2842,1504,1.699468085106383,1.889627659574468,143,143,0,0,3,3,0
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,aspect,2977,1316,2977,1575,2.262158054711246,1.8901587301587301,0,0,129,130,2,2,0
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,aspect,2839,1316,2839,1502,2.157294832826748,1.8901464713715046,0,0,93,93,3,3,0
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,aspect,2884,1504,2884,1526,1.9175531914893618,1.889908256880734,0,0,11,11,1,1,0
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,aspect,2812,1316,2812,1488,2.13677811550152,1.8897849462365592,0,0,86,86,1,1,0
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,aspect,2867,1316,2867,1517,2.1785714285714284,1.889914304548451,0,0,100,101,1,1,0
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,aspect,3004,1316,3004,1590,2.282674772036474,1.889308176100629,0,0,137,137,2,2,0
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,aspect,2977,1316,2977,1575,2.262158054711246,1.8901587301587301,0,0,129,130,1,1,0
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,aspect,2756,1316,2756,1459,2.094224924012158,1.8889650445510624,0,0,71,72,1,1,0
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,aspect,2867,1316,2867,1517,2.1785714285714284,1.889914304548451,0,0,100,101,4,4,0
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,aspect,3076,1536,3076,1628,2.0026041666666665,1.8894348894348894,0,0,46,46,3,3,0
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,aspect,2899,1316,2899,1534,2.202887537993921,1.8898305084745763,0,0,109,109,1,1,0
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,aspect,2935,1316,2935,1553,2.230243161094225,1.8898905344494528,0,0,118,119,1,1,0
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,aspect,2771,1316,2771,1466,2.1056231003039514,1.8901773533424284,0,0,75,75,3,3,0
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,aspect,2827,1316,2827,1496,2.148176291793313,1.8897058823529411,0,0,90,90,1,1,0
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,aspect,2965,1316,2965,1569,2.2530395136778116,1.889738687061823,0,0,126,127,1,1,0
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,aspect,2920,1316,2920,1545,2.2188449848024314,1.889967637540453,0,0,114,115,1,1,0
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,aspect,2860,1316,2860,1514,2.1732522796352582,1.8890356671070012,0,0,99,99,1,1,0
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,aspect,2985,1316,2985,1580,2.2682370820668694,1.889240506329114,0,0,132,132,2,2,0
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,aspect,2897,1316,2897,1533,2.201367781155015,1.8897586431833007,0,0,108,109,1,1,0
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,aspect,2821,1316,2821,1493,2.143617021276596,1.8894842598794375,0,0,88,89,2,2,0
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,aspect,2852,1316,2852,1509,2.1671732522796354,1.8899933730947647,0,0,96,97,2,2,0
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,aspect,2892,1316,2892,1530,2.197568389057751,1.8901960784313725,0,0,107,107,1,1,0
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,aspect,2894,1316,2894,1532,2.1990881458966567,1.8890339425587468,0,0,108,108,1,1,0
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,aspect,2872,1504,2872,1520,1.9095744680851063,1.8894736842105264,0,0,8,8,1,1,0
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,aspect,2936,1316,2936,1554,2.231003039513678,1.8893178893178892,0,0,119,119,4,4,0
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,aspect,1976,976,1976,1046,2.0245901639344264,1.8891013384321225,0,0,35,35,1,1,0
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,aspect,2876,1504,2876,1522,1.9122340425531914,1.8896189224704336,0,0,9,9,1,1,0
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,aspect,2858,1316,2858,1512,2.1717325227963524,1.8902116402116402,0,0,98,98,2,2,0
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,aspect,2836,1316,2836,1501,2.155015197568389,1.8894070619586942,0,0,92,93,1,1,0
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,aspect,2868,1504,2868,1518,1.9069148936170213,1.8893280632411067,0,0,7,7,1,1,0
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,aspect,2788,1316,2788,1475,2.1185410334346506,1.8901694915254237,0,0,79,80,2,2,0
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,aspect,2880,1316,2880,1524,2.188449848024316,1.889763779527559,0,0,104,104,3,3,0
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,aspect,2986,1316,2986,1580,2.268996960486322,1.889873417721519,0,0,132,132,2,2,0
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,aspect,2741,1316,2741,1451,2.0828267477203646,1.8890420399724328,0,0,67,68,1,1,0
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,aspect,2723,1316,2723,1441,2.0691489361702127,1.8896599583622484,0,0,62,63,1,1,0
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,aspect,1976,976,1976,1046,2.0245901639344264,1.8891013384321225,0,0,35,35,1,1,0
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,aspect,2929,1316,2929,1550,2.225683890577508,1.8896774193548387,0,0,117,117,2,2,0
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,aspect,2806,1316,2806,1485,2.1322188449848025,1.8895622895622897,0,0,84,85,1,1,0
test,0001_jpg.rf.e2d03a8dba5399d1c862a6ecc20772bd.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,11,11,0
test,0004_jpg.rf.bb709220c7032f5b0b5606f20adf63d8.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0005_jpg.rf.d1c3fbb2e220038c6fc2ac027823c595.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0008_jpg.rf.73f7ab45a98a9eabe2920ba1ee00ef86.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0013_jpg.rf.5e3f9dbd97e9645601b4b5b56937d2a4.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0016_jpg.rf.ec2adfb8a39e10b23cffc2f71942cd8a.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0017_jpg.rf.f6eb50e33a8efb66cf7e3142f17a8e1e.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0025_jpg.rf.c2dd34dccdc51a4956e1d1ccee63073f.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0027_jpg.rf.945f8e7695bc7e7a069b3b854f0226a6.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0030_jpg.rf.2ffe04c14d4589a64938a4eaf75524e1.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0038_jpg.rf.70936afe54a9d381acfc8842f5d65804.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0046_jpg.rf.038fc483a77107adc97902b572795d2c.jpg,aspect,2440,1280,2440,1291,1.90625,1.890007745933385,0,0,5,6,1,1,0
test,0051_jpg.rf.ff12a2017d2d1c8f455b488c90c0b2e4.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0052_jpg.rf.ecb15cb963ca6062da4f2d7d6c0455b8.jpg,aspect,2440,1280,2440,1291,1.90625,1.890007745933385,0,0,5,6,1,1,0
test,0057_jpg.rf.13608aee50b324616979f452369a5061.jpg,aspect,1563,1024,1935,1024,1.5263671875,1.8896484375,186,186,0,0,1,1,0
test,0078_jpg.rf.84cf3ca1e6bd60447846cc65756afd6c.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,5,5,0
test,0088_jpg.rf.5e14c4f366d00eb0f48f5835e24adaaa.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0089_jpg.rf.fd211648eb97a6aa7582b6630dd1ccd5.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0092_jpg.rf.7a357ad45f573f99d54a01621696f296.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0095_jpg.rf.987b6d8095043ea211953025b0190750.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0099_jpg.rf.accc47cd34bbe25147ea5345b1fe500f.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0100_jpg.rf.d50747c5b877a54915381bacd234cac9.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,4,4,0
test,0104_jpg.rf.01c8bc85f9ad5901a1559bf7406d186d.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0107_jpg.rf.1a832d17d9086b869415560731022487.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0115_jpg.rf.b44a15fd6166db7c92eb13074a7fae81.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0116_jpg.rf.75813fa7da75a109a021c030568b79ab.jpg,aspect,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
