split,image,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,15.92,27,1,False
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,2846,1316,0,0,2846,1316,1423.0,658.0,0,0,2846,1316,2846,1316,26.28,25,1,False
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,2856,1316,0,0,2856,1316,1428.0,658.0,0,0,2856,1316,2856,1316,28.12,25,1,False
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,2964,1316,0,0,2964,1316,1482.0,658.0,0,0,2964,1316,2964,1316,24.36,25,1,False
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,2906,1316,0,0,2906,1316,1453.0,658.0,0,0,2906,1316,2906,1316,26.04,25,1,False
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,2964,1316,0,0,2964,1316,1482.0,658.0,0,0,2964,1316,2964,1316,24.28,25,1,False
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,2884,1504,0,0,2884,1504,1442.0,752.0,0,0,2884,1504,2884,1504,18.32,27,1,False
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,2836,1316,0,0,2836,1316,1418.0,658.0,0,0,2836,1316,2836,1316,28.88,25,1,False
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,2799,1316,0,0,2799,1316,1399.5,658.0,0,0,2799,1316,2799,1316,24.12,25,1,False
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,2833,1316,0,0,2833,1316,1416.5,658.0,0,0,2833,1316,2833,1316,25.44,25,1,False
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.48,27,1,False
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,2824,1316,0,0,2824,1316,1412.0,658.0,0,0,2824,1316,2824,1316,22.44,25,1,False
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,2890,1316,0,0,2890,1316,1445.0,658.0,0,0,2890,1316,2890,1316,22.68,25,1,False
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.8,27,1,False
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,2480,1504,43,0,2437,1504,1261.5,752.0,0,0,2480,1504,2480,1504,17.12,27,1,False
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,2824,1316,0,0,2824,1316,1412.0,658.0,0,0,2824,1316,2824,1316,20.36,25,1,False
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,2942,1316,0,0,2942,1316,1471.0,658.0,0,0,2942,1316,2942,1316,23.44,25,1,False
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,17.84,27,1,False
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,2868,1504,0,0,2868,1504,1434.0,752.0,0,0,2868,1504,2868,1504,18.4,27,1,False
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,2729,1316,0,0,2729,1316,1364.5,658.0,0,0,2729,1316,2729,1316,25.64,25,1,False
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,2828,1316,0,0,2828,1316,1414.0,658.0,0,0,2828,1316,2828,1316,20.68,25,1,False
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,2727,1316,0,0,2727,1316,1363.5,658.0,0,0,2727,1316,2727,1316,23.36,25,1,False
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,17.92,27,1,False
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,2868,1504,0,0,2868,1504,1434.0,752.0,0,0,2868,1504,2868,1504,17.84,27,1,False
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,1976,976,121,81,1659,825,950.5,493.5,0,15,1913,972,1913,957,16.12,19,1,False
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.24,27,1,False
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,2556,1504,0,0,2556,1504,1278.0,752.0,0,0,2556,1504,2556,1504,18.8,27,1,False
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,2977,1316,0,0,2977,1316,1488.5,658.0,0,0,2977,1316,2977,1316,24.12,25,1,False
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,2839,1316,0,0,2839,1316,1419.5,658.0,0,0,2839,1316,2839,1316,35.64,25,1,False
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,2884,1504,0,0,2884,1504,1442.0,752.0,0,0,2884,1504,2884,1504,18.72,27,1,False
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,2812,1316,0,0,2812,1316,1406.0,658.0,0,0,2812,1316,2812,1316,25.28,25,1,False
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,2867,1316,0,0,2867,1316,1433.5,658.0,0,0,2867,1316,2867,1316,24.04,25,1,False
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,3004,1316,0,0,3004,1316,1502.0,658.0,0,0,3004,1316,3004,1316,26.36,25,1,False
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,2977,1316,0,0,2977,1316,1488.5,658.0,0,0,2977,1316,2977,1316,24.12,25,1,False
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,2756,1316,0,0,2756,1316,1378.0,658.0,0,0,2756,1316,2756,1316,23.2,25,1,False
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,2867,1316,0,0,2867,1316,1433.5,658.0,0,0,2867,1316,2867,1316,23.36,25,1,False
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,3076,1536,0,0,3076,1536,1538.0,768.0,0,0,3076,1536,3076,1536,19.44,29,1,False
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,2899,1316,0,0,2899,1316,1449.5,658.0,0,0,2899,1316,2899,1316,23.2,25,1,False
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,2935,1316,0,0,2935,1316,1467.5,658.0,0,0,2935,1316,2935,1316,26.12,25,1,False
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,2771,1316,0,0,2771,1316,1385.5,658.0,0,0,2771,1316,2771,1316,26.04,25,1,False
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,2827,1316,0,0,2827,1316,1413.5,658.0,0,0,2827,1316,2827,1316,20.0,25,1,False
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,2965,1316,0,0,2965,1316,1482.5,658.0,0,0,2965,1316,2965,1316,28.96,25,1,False
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,15.28,27,1,False
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,2920,1316,0,0,2920,1316,1460.0,658.0,0,0,2920,1316,2920,1316,23.04,25,1,False
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,2860,1316,0,0,2860,1316,1430.0,658.0,0,0,2860,1316,2860,1316,25.2,25,1,False
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.08,27,1,False
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,2985,1316,0,0,2985,1316,1492.5,658.0,0,0,2985,1316,2985,1316,29.96,25,1,False
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.16,27,1,False
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,2897,1316,0,0,2897,1316,1448.5,658.0,0,0,2897,1316,2897,1316,24.6,25,1,False
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,2821,1316,0,0,2821,1316,1410.5,658.0,0,0,2821,1316,2821,1316,27.28,25,1,False
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,2852,1316,0,0,2852,1316,1426.0,658.0,0,0,2852,1316,2852,1316,24.28,25,1,False
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,2892,1316,0,0,2892,1316,1446.0,658.0,0,0,2892,1316,2892,1316,25.2,25,1,False
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,2894,1316,0,0,2894,1316,1447.0,658.0,0,0,2894,1316,2894,1316,24.2,25,1,False
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.24,27,1,False
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,2936,1316,0,0,2936,1316,1468.0,658.0,0,0,2936,1316,2936,1316,25.2,25,1,False
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,1976,976,89,0,1769,936,973.5,468.0,0,0,1976,976,1976,976,19.72,19,1,False
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,2876,1504,0,0,2876,1504,1438.0,752.0,0,0,2876,1504,2876,1504,16.08,27,1,False
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,2858,1316,0,0,2858,1316,1429.0,658.0,0,0,2858,1316,2858,1316,23.28,25,1,False
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,2836,1316,0,0,2836,1316,1418.0,658.0,0,0,2836,1316,2836,1316,23.36,25,1,False
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,2868,1504,0,0,2868,1504,1434.0,752.0,0,0,2868,1504,2868,1504,17.92,27,1,False
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,2788,1316,0,0,2788,1316,1394.0,658.0,0,0,2788,1316,2788,1316,23.44,25,1,False
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,2880,1316,0,0,2880,1316,1440.0,658.0,0,0,2880,1316,2880,1316,24.36,25,1,False
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,2986,1316,0,0,2986,1316,1493.0,658.0,0,0,2986,1316,2986,1316,22.52,25,1,False
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,2741,1316,0,0,2741,1316,1370.5,658.0,0,0,2741,1316,2741,1316,23.6,25,1,False
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,2723,1316,0,0,2723,1316,1361.5,658.0,0,0,2723,1316,2723,1316,21.76,25,1,False
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,1976,976,147,53,1663,869,978.5,487.5,14,0,1943,976,1929,976,17.8,19,1,False
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,2929,1316,0,0,2929,1316,1464.5,658.0,0,0,2929,1316,2929,1316,23.44,25,1,False
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,2806,1316,0,0,2806,1316,1403.0,658.0,0,0,2806,1316,2806,1316,26.88,25,1,False
