split,image,method,orig_w,orig_h,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,labels_in,labels_out,labels_dropped,fallback
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,energy,2868,1504,0,0,2868,1504,2868,1504,2,2,0,False
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,energy,2844,1316,0,0,2844,1299,2844,1299,1,1,0,False
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,energy,2954,1316,0,0,2954,1312,2954,1312,1,1,0,False
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,energy,2512,1504,0,0,2512,1502,2512,1502,2,2,0,False
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,energy,2872,1504,9,0,2872,1504,2863,1504,1,1,0,False
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,energy,2983,1316,0,0,2983,1300,2983,1300,2,2,0,False
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,energy,2942,1316,0,0,2942,1301,2942,1301,1,1,0,False
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,energy,2862,1316,0,0,2862,1300,2862,1300,2,2,0,False
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,energy,2872,1504,6,7,2872,1504,2866,1497,1,1,0,False
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,energy,2839,1316,0,0,2839,1310,2839,1310,1,1,0,False
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,1,1,0,False
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,energy,2950,1316,0,0,2950,1304,2950,1304,1,1,0,False
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,energy,2884,1504,0,0,2884,1494,2884,1494,1,1,0,False
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,1,1,0,False
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,energy,2846,1316,0,0,2846,1310,2846,1310,1,1,0,False
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,energy,2856,1316,0,0,2856,1291,2856,1291,3,3,0,False
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,energy,2964,1316,0,0,2964,1302,2964,1302,1,1,0,False
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,energy,2906,1316,0,0,2906,1314,2906,1314,1,1,0,False
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,energy,2964,1316,0,0,2964,1302,2964,1302,1,1,0,False
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,energy,2884,1504,0,0,2884,1493,2884,1493,1,1,0,False
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,energy,2836,1316,0,0,2836,1309,2836,1309,1,1,0,False
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,energy,2799,1316,0,0,2799,1298,2799,1298,1,1,0,False
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,energy,2833,1316,3,0,2833,1300,2830,1300,1,1,0,False
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,2,2,0,False
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,energy,2824,1316,0,0,2824,1315,2824,1315,3,3,0,False
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,energy,2890,1316,0,0,2890,1306,2890,1306,1,1,0,False
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,2,2,0,False
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,energy,2480,1504,0,0,2480,1477,2480,1477,1,1,0,False
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,energy,2824,1316,5,0,2824,1305,2819,1305,1,1,0,False
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,energy,2942,1316,0,0,2942,1298,2942,1298,1,1,0,False
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,energy,2872,1504,2,1,2872,1504,2870,1503,2,2,0,False
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,energy,2868,1504,2,0,2868,1489,2866,1489,3,3,0,False
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,energy,2729,1316,0,0,2729,1300,2729,1300,1,1,0,False
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,energy,2828,1316,0,0,2828,1289,2828,1289,1,1,0,False
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,energy,2727,1316,0,0,2727,1297,2727,1297,1,1,0,False
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,2,2,0,False
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,energy,2868,1504,0,0,2854,1498,2854,1498,1,1,0,False
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,energy,1976,976,54,39,1844,930,1790,891,2,2,0,False
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,1,1,0,False
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,energy,2556,1504,0,0,2556,1504,2556,1504,3,3,0,False
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,energy,2977,1316,0,0,2977,1293,2977,1293,2,2,0,False
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,energy,2839,1316,0,0,2839,1316,2839,1316,3,3,0,False
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,energy,2884,1504,6,0,2884,1504,2878,1504,1,1,0,False
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,energy,2812,1316,0,0,2812,1299,2812,1299,1,1,0,False
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,energy,2867,1316,0,0,2867,1308,2867,1308,1,1,0,False
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,energy,3004,1316,0,0,3004,1312,3004,1312,2,2,0,False
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,energy,2977,1316,0,0,2977,1300,2977,1300,1,1,0,False
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,energy,2756,1316,0,0,2756,1306,2756,1306,1,1,0,False
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,energy,2867,1316,0,0,2867,1286,2867,1286,4,4,0,False
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,energy,3076,1536,0,0,3076,1493,3076,1493,3,3,0,False
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,energy,2899,1316,0,0,2899,1310,2899,1310,1,1,0,False
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,energy,2935,1316,0,0,2935,1316,2935,1316,1,1,0,False
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,energy,2771,1316,0,0,2771,1289,2771,1289,3,3,0,False
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,energy,2827,1316,0,0,2827,1316,2827,1316,1,1,0,False
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,energy,2965,1316,0,0,2965,1316,2965,1316,1,1,0,False
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,energy,2872,1504,15,0,2872,1504,2857,1504,1,1,0,False
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,energy,2920,1316,0,0,2920,1307,2920,1307,1,1,0,False
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,energy,2860,1316,0,0,2860,1307,2860,1307,1,1,0,False
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,1,1,0,False
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,energy,2985,1316,0,2,2985,1316,2985,1314,2,2,0,False
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,energy,2872,1504,0,0,2871,1504,2871,1504,1,1,0,False
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,energy,2897,1316,0,0,2897,1314,2897,1314,1,1,0,False
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,energy,2821,1316,0,0,2821,1301,2821,1301,2,2,0,False
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,energy,2852,1316,0,0,2852,1297,2852,1297,2,2,0,False
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,energy,2892,1316,0,0,2892,1311,2892,1311,1,1,0,False
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,energy,2894,1316,0,0,2894,1293,2894,1293,1,1,0,False
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,energy,2872,1504,0,0,2872,1504,2872,1504,1,1,0,False
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,energy,2936,1316,0,0,2936,1300,2936,1300,4,4,0,False
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,energy,1976,976,31,4,1924,976,1893,972,1,1,0,False
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,energy,2876,1504,7,0,2876,1504,2869,1504,1,1,0,False
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,energy,2858,1316,0,0,2858,1290,2858,1290,2,2,0,False
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,energy,2836,1316,0,0,2836,1311,2836,1311,1,1,0,False
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,energy,2868,1504,0,0,2868,1497,2868,1497,1,1,0,False
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,energy,2788,1316,0,0,2788,1307,2788,1307,2,2,0,False
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,energy,2880,1316,1,0,2880,1292,2879,1292,3,3,0,False
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,energy,2986,1316,0,0,2986,1302,2986,1302,2,2,0,False
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,energy,2741,1316,0,0,2741,1300,2741,1300,1,1,0,False
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,energy,2723,1316,4,0,2723,1298,2719,1298,1,1,0,False
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,energy,1976,976,78,8,1876,966,1798,958,1,1,0,False
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,energy,2929,1316,0,0,2929,1309,2929,1309,2,2,0,False
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,energy,2806,1316,0,0,2806,1294,2806,1294,1,1,0,False
test,0001_jpg.rf.e2d03a8dba5399d1c862a6ecc20772bd.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,11,11,0,False
test,0004_jpg.rf.bb709220c7032f5b0b5606f20adf63d8.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0005_jpg.rf.d1c3fbb2e220038c6fc2ac027823c595.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0008_jpg.rf.73f7ab45a98a9eabe2920ba1ee00ef86.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,3,3,0,False
test,0013_jpg.rf.5e3f9dbd97e9645601b4b5b56937d2a4.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0016_jpg.rf.ec2adfb8a39e10b23cffc2f71942cd8a.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0017_jpg.rf.f6eb50e33a8efb66cf7e3142f17a8e1e.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,3,3,0,False
test,0025_jpg.rf.c2dd34dccdc51a4956e1d1ccee63073f.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0027_jpg.rf.945f8e7695bc7e7a069b3b854f0226a6.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0030_jpg.rf.2ffe04c14d4589a64938a4eaf75524e1.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0038_jpg.rf.70936afe54a9d381acfc8842f5d65804.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0046_jpg.rf.038fc483a77107adc97902b572795d2c.jpg,energy,2440,1280,0,0,2440,1280,2440,1280,1,1,0,False
test,0051_jpg.rf.ff12a2017d2d1c8f455b488c90c0b2e4.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0052_jpg.rf.ecb15cb963ca6062da4f2d7d6c0455b8.jpg,energy,2440,1280,0,0,2440,1280,2440,1280,1,1,0,False
test,0057_jpg.rf.13608aee50b324616979f452369a5061.jpg,energy,1563,1024,0,0,1563,1024,1563,1024,1,1,0,False
test,0078_jpg.rf.84cf3ca1e6bd60447846cc65756afd6c.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,5,5,0,False
test,0088_jpg.rf.5e14c4f366d00eb0f48f5835e24adaaa.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0089_jpg.rf.fd211648eb97a6aa7582b6630dd1ccd5.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0092_jpg.rf.7a357ad45f573f99d54a01621696f296.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0095_jpg.rf.987b6d8095043ea211953025b0190750.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
test,0099_jpg.rf.accc47cd34bbe25147ea5345b1fe500f.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,3,3,0,False
test,0100_jpg.rf.d50747c5b877a54915381bacd234cac9.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,4,4,0,False
test,0104_jpg.rf.01c8bc85f9ad5901a1559bf7406d186d.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0107_jpg.rf.1a832d17d9086b869415560731022487.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,3,3,0,False
test,0115_jpg.rf.b44a15fd6166db7c92eb13074a7fae81.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,1,1,0,False
test,0116_jpg.rf.75813fa7da75a109a021c030568b79ab.jpg,energy,1935,1024,0,0,1935,1024,1935,1024,2,2,0,False
