split,image,method,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,energy,2799,1316,280,112,2242,1074,1401.0,649.0,101,26,2701,1272,2600,1246,93.0663,8,0,False
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,energy,2833,1316,331,113,2175,1071,1418.5,648.5,157,27,2680,1270,2523,1243,91.9666,8,0,False
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,energy,2872,1504,291,136,2254,1236,1418.0,754.0,111,37,2725,1471,2614,1434,108.9357,9,0,False
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,energy,2824,1316,320,111,2180,1083,1410.0,652.5,146,24,2674,1281,2528,1257,78.2966,8,0,False
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,energy,2890,1316,312,119,2250,1060,1437.0,649.0,132,34,2742,1264,2610,1230,76.8312,8,0,False
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,energy,2872,1504,296,134,2288,1253,1440.0,760.5,113,34,2767,1487,2654,1453,103.2515,9,0,False
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,energy,2480,1504,250,122,1944,1224,1222.0,734.0,94,24,2350,1444,2256,1420,112.4943,9,0,False
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,energy,2824,1316,393,104,2075,1060,1430.5,634.0,227,19,2634,1249,2407,1230,83.9704,8,0,False
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,energy,2942,1316,242,112,2446,1065,1465.0,644.5,46,27,2884,1262,2838,1235,89.7113,8,0,False
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,energy,2872,1504,343,146,2219,1231,1452.5,761.5,165,48,2740,1475,2575,1427,121.1635,9,0,False
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,energy,2868,1504,360,143,2187,1215,1453.5,750.5,185,46,2722,1455,2537,1409,116.9564,9,0,False
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,energy,2729,1316,268,108,2205,1071,1370.5,643.5,92,22,2649,1265,2557,1243,83.1018,8,0,False
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,energy,2828,1316,328,111,2182,1047,1419.0,634.5,153,27,2685,1242,2532,1215,84.9923,8,0,False
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,energy,2727,1316,292,109,2148,1078,1366.0,648.0,120,23,2612,1273,2492,1250,95.003,8,0,False
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,energy,2872,1504,264,146,2381,1237,1454.5,764.5,74,47,2835,1482,2761,1435,121.0862,9,0,False
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,energy,2868,1504,337,128,2198,1241,1436.0,748.5,161,29,2711,1468,2550,1439,104.8161,9,0,False
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,energy,1976,976,240,120,1406,731,943.0,485.5,128,62,1758,909,1630,847,192.8,6,0,False
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,energy,2872,1504,269,129,2258,1251,1398.0,754.5,88,29,2708,1480,2620,1451,117.5167,9,0,False
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,energy,2556,1504,244,130,2028,1241,1258.0,750.5,82,31,2434,1470,2352,1439,111.3933,9,0,False
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,energy,2977,1316,234,108,2411,1068,1439.5,642.0,41,23,2838,1261,2797,1238,92.4132,8,0,False
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,energy,2839,1316,270,116,2309,1098,1424.5,665.0,85,28,2764,1302,2679,1274,110.1866,8,0,False
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,energy,2884,1504,336,137,2242,1245,1457.0,759.5,157,37,2757,1482,2600,1445,113.1952,9,0,False
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,energy,2812,1316,325,108,2138,1076,1394.0,646.0,154,22,2634,1270,2480,1248,97.659,8,0,False
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,energy,2867,1316,237,104,2415,1082,1444.5,645.0,44,17,2845,1273,2801,1256,93.3106,8,0,False
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,energy,3004,1316,270,106,2471,1092,1505.5,652.0,72,19,2939,1285,2867,1266,88.4901,8,0,False
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,energy,2977,1316,227,108,2500,1074,1477.0,645.0,27,22,2927,1268,2900,1246,108.4974,8,0,False
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,energy,2756,1316,296,107,2211,1077,1401.5,645.5,119,21,2684,1270,2565,1249,81.7134,8,0,False
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,energy,2867,1316,261,101,2318,1064,1420.0,633.0,76,16,2764,1250,2688,1234,88.4308,8,0,False
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,energy,3076,1536,348,124,2391,1222,1543.5,735.0,157,26,2930,1444,2773,1418,141.1357,10,0,False
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,energy,2899,1316,245,108,2398,1088,1444.0,652.0,53,21,2835,1283,2782,1262,77.5139,8,0,False
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,energy,2935,1316,227,118,2485,1094,1469.5,665.0,28,30,2911,1300,2883,1270,99.7,8,0,False
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,energy,2771,1316,319,109,2159,1061,1398.5,639.5,146,24,2651,1255,2505,1231,88.3479,8,0,False
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,energy,2827,1316,347,108,2259,1096,1476.5,656.0,166,20,2787,1292,2621,1272,73.4649,8,0,False
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,energy,2965,1316,199,124,2559,1090,1478.5,669.0,0,37,2963,1301,2963,1264,143.2382,8,0,False
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,energy,2872,1504,334,134,2240,1252,1454.0,760.0,155,34,2753,1486,2598,1452,139.4386,9,0,False
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,energy,2920,1316,206,99,2511,1093,1461.5,645.5,5,12,2918,1279,2913,1267,102.7715,8,0,False
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,energy,2860,1316,260,116,2353,1079,1436.5,655.5,72,30,2801,1281,2729,1251,105.3213,8,0,False
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,energy,2872,1504,314,124,2226,1265,1427.0,756.5,136,23,2718,1490,2582,1467,95.4217,9,0,False
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,energy,2985,1316,271,125,2445,1085,1493.5,667.5,75,38,2912,1297,2837,1259,118.6602,8,0,False
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,energy,2872,1504,299,125,2236,1253,1417.0,751.5,120,25,2714,1478,2594,1453,121.7827,9,0,False
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,energy,2897,1316,319,114,2310,1087,1474.0,657.5,134,27,2814,1288,2680,1261,95.7428,8,0,False
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,energy,2821,1316,238,110,2355,1075,1415.5,647.5,50,24,2781,1271,2731,1247,91.7163,8,0,False
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,energy,2852,1316,231,111,2418,1071,1440.0,646.5,38,25,2842,1268,2804,1243,100.1801,8,0,False
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,energy,2892,1316,205,107,2471,1093,1440.5,653.5,7,20,2874,1287,2867,1267,97.6861,8,0,False
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,energy,2894,1316,316,102,2276,1071,1454.0,637.5,134,16,2774,1259,2640,1243,97.3301,8,0,False
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,energy,2872,1504,306,134,2260,1239,1436.0,753.5,125,35,2747,1472,2622,1437,107.5749,9,0,False
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,energy,2936,1316,261,116,2457,1069,1489.5,650.5,64,30,2915,1271,2851,1241,119.5663,8,0,False
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,energy,1976,976,229,96,1493,799,975.5,495.5,110,32,1841,959,1731,927,220.8,6,0,False
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,energy,2876,1504,319,133,2268,1251,1453.0,758.5,138,33,2768,1484,2630,1451,127.4227,9,0,False
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,energy,2858,1316,207,102,2441,1062,1427.5,633.0,12,17,2843,1249,2831,1232,80.143,8,0,False
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,energy,2836,1316,333,107,2185,1078,1425.5,646.0,158,21,2693,1271,2535,1250,87.3305,8,0,False
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,energy,2868,1504,295,139,2307,1223,1448.5,750.5,110,41,2787,1460,2677,1419,126.3987,9,0,False
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,energy,2788,1316,302,112,2180,1082,1392.0,653.0,128,25,2656,1281,2528,1256,94.0208,8,0,False
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,energy,2880,1316,339,107,2201,1048,1439.5,631.0,163,23,2716,1239,2553,1216,84.1482,8,0,False
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,energy,2986,1316,210,116,2550,1063,1485.0,647.5,6,31,2964,1264,2958,1233,100.5478,8,0,False
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,energy,2741,1316,237,109,2268,1065,1371.0,641.5,56,24,2686,1259,2630,1235,92.1485,8,0,False
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,energy,2723,1316,336,104,2076,1067,1374.0,637.5,170,19,2578,1256,2408,1237,82.8331,8,0,False
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,energy,1976,976,261,94,1404,782,963.0,485.0,149,31,1777,939,1628,908,199.5806,6,0,False
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,energy,2929,1316,288,115,2320,1083,1448.0,656.5,102,28,2794,1285,2692,1257,93.1528,8,0,False
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,energy,2806,1316,326,110,2198,1064,1425.0,642.0,150,25,2700,1259,2550,1234,95.0049,8,0,False
