split,image,mode,orig_w,orig_h,out_w,out_h,orig_aspect,out_aspect,pad_left,pad_right,pad_top,pad_bottom,labels_in,labels_out,labels_dropped
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,pnorm,2964,1316,2964,1316,2.2522796352583585,2.2522796352583585,0,0,0,0,1,1,0
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,pnorm,2906,1316,2906,1316,2.208206686930091,2.208206686930091,0,0,0,0,1,1,0
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,pnorm,2964,1316,2964,1316,2.2522796352583585,2.2522796352583585,0,0,0,0,1,1,0
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,pnorm,2884,1504,2884,1504,1.9175531914893618,1.9175531914893618,0,0,0,0,1,1,0
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,pnorm,2836,1316,2836,1316,2.155015197568389,2.155015197568389,0,0,0,0,1,1,0
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,pnorm,2799,1316,2799,1316,2.1268996960486324,2.1268996960486324,0,0,0,0,1,1,0
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,pnorm,2833,1316,2833,1316,2.1527355623100304,2.1527355623100304,0,0,0,0,1,1,0
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,2,2,0
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,pnorm,2824,1316,2824,1316,2.1458966565349544,2.1458966565349544,0,0,0,0,3,3,0
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,pnorm,2890,1316,2890,1316,2.196048632218845,2.196048632218845,0,0,0,0,1,1,0
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,2,2,0
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,pnorm,2480,1504,2480,1504,1.648936170212766,1.648936170212766,0,0,0,0,1,1,0
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,pnorm,2824,1316,2824,1316,2.1458966565349544,2.1458966565349544,0,0,0,0,1,1,0
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,pnorm,2942,1316,2942,1316,2.235562310030395,2.235562310030395,0,0,0,0,1,1,0
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,2,2,0
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,pnorm,2868,1504,2868,1504,1.9069148936170213,1.9069148936170213,0,0,0,0,3,3,0
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,pnorm,2729,1316,2729,1316,2.07370820668693,2.07370820668693,0,0,0,0,1,1,0
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,pnorm,2828,1316,2828,1316,2.148936170212766,2.148936170212766,0,0,0,0,1,1,0
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,pnorm,2727,1316,2727,1316,2.0721884498480243,2.0721884498480243,0,0,0,0,1,1,0
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,2,2,0
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,pnorm,2868,1504,2868,1504,1.9069148936170213,1.9069148936170213,0,0,0,0,1,1,0
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,pnorm,1976,976,1976,976,2.0245901639344264,2.0245901639344264,0,0,0,0,2,2,0
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,pnorm,2556,1504,2556,1504,1.699468085106383,1.699468085106383,0,0,0,0,3,3,0
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,pnorm,2977,1316,2977,1316,2.262158054711246,2.262158054711246,0,0,0,0,2,2,0
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,pnorm,2839,1316,2839,1316,2.157294832826748,2.157294832826748,0,0,0,0,3,3,0
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,pnorm,2884,1504,2884,1504,1.9175531914893618,1.9175531914893618,0,0,0,0,1,1,0
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,pnorm,2812,1316,2812,1316,2.13677811550152,2.13677811550152,0,0,0,0,1,1,0
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,pnorm,2867,1316,2867,1316,2.1785714285714284,2.1785714285714284,0,0,0,0,1,1,0
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,pnorm,3004,1316,3004,1316,2.282674772036474,2.282674772036474,0,0,0,0,2,2,0
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,pnorm,2977,1316,2977,1316,2.262158054711246,2.262158054711246,0,0,0,0,1,1,0
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,pnorm,2756,1316,2756,1316,2.094224924012158,2.094224924012158,0,0,0,0,1,1,0
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,pnorm,2867,1316,2867,1316,2.1785714285714284,2.1785714285714284,0,0,0,0,4,4,0
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,pnorm,3076,1536,3076,1536,2.0026041666666665,2.0026041666666665,0,0,0,0,3,3,0
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,pnorm,2899,1316,2899,1316,2.202887537993921,2.202887537993921,0,0,0,0,1,1,0
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,pnorm,2935,1316,2935,1316,2.230243161094225,2.230243161094225,0,0,0,0,1,1,0
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,pnorm,2771,1316,2771,1316,2.1056231003039514,2.1056231003039514,0,0,0,0,3,3,0
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,pnorm,2827,1316,2827,1316,2.148176291793313,2.148176291793313,0,0,0,0,1,1,0
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,pnorm,2965,1316,2965,1316,2.2530395136778116,2.2530395136778116,0,0,0,0,1,1,0
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,pnorm,2920,1316,2920,1316,2.2188449848024314,2.2188449848024314,0,0,0,0,1,1,0
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,pnorm,2860,1316,2860,1316,2.1732522796352582,2.1732522796352582,0,0,0,0,1,1,0
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,pnorm,2985,1316,2985,1316,2.2682370820668694,2.2682370820668694,0,0,0,0,2,2,0
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,pnorm,2897,1316,2897,1316,2.201367781155015,2.201367781155015,0,0,0,0,1,1,0
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,pnorm,2821,1316,2821,1316,2.143617021276596,2.143617021276596,0,0,0,0,2,2,0
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,pnorm,2852,1316,2852,1316,2.1671732522796354,2.1671732522796354,0,0,0,0,2,2,0
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,pnorm,2892,1316,2892,1316,2.197568389057751,2.197568389057751,0,0,0,0,1,1,0
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,pnorm,2894,1316,2894,1316,2.1990881458966567,2.1990881458966567,0,0,0,0,1,1,0
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,pnorm,2936,1316,2936,1316,2.231003039513678,2.231003039513678,0,0,0,0,4,4,0
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,pnorm,1976,976,1976,976,2.0245901639344264,2.0245901639344264,0,0,0,0,1,1,0
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,pnorm,2876,1504,2876,1504,1.9122340425531914,1.9122340425531914,0,0,0,0,1,1,0
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,pnorm,2858,1316,2858,1316,2.1717325227963524,2.1717325227963524,0,0,0,0,2,2,0
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,pnorm,2836,1316,2836,1316,2.155015197568389,2.155015197568389,0,0,0,0,1,1,0
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,pnorm,2868,1504,2868,1504,1.9069148936170213,1.9069148936170213,0,0,0,0,1,1,0
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,pnorm,2788,1316,2788,1316,2.1185410334346506,2.1185410334346506,0,0,0,0,2,2,0
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,pnorm,2880,1316,2880,1316,2.188449848024316,2.188449848024316,0,0,0,0,3,3,0
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,pnorm,2986,1316,2986,1316,2.268996960486322,2.268996960486322,0,0,0,0,2,2,0
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,pnorm,2741,1316,2741,1316,2.0828267477203646,2.0828267477203646,0,0,0,0,1,1,0
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,pnorm,2723,1316,2723,1316,2.0691489361702127,2.0691489361702127,0,0,0,0,1,1,0
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,pnorm,1976,976,1976,976,2.0245901639344264,2.0245901639344264,0,0,0,0,1,1,0
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,pnorm,2929,1316,2929,1316,2.225683890577508,2.225683890577508,0,0,0,0,2,2,0
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,pnorm,2806,1316,2806,1316,2.1322188449848025,2.1322188449848025,0,0,0,0,1,1,0
test,0001_jpg.rf.e2d03a8dba5399d1c862a6ecc20772bd.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,11,11,0
test,0004_jpg.rf.bb709220c7032f5b0b5606f20adf63d8.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0005_jpg.rf.d1c3fbb2e220038c6fc2ac027823c595.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0008_jpg.rf.73f7ab45a98a9eabe2920ba1ee00ef86.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0013_jpg.rf.5e3f9dbd97e9645601b4b5b56937d2a4.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0016_jpg.rf.ec2adfb8a39e10b23cffc2f71942cd8a.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0017_jpg.rf.f6eb50e33a8efb66cf7e3142f17a8e1e.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0025_jpg.rf.c2dd34dccdc51a4956e1d1ccee63073f.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0027_jpg.rf.945f8e7695bc7e7a069b3b854f0226a6.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0030_jpg.rf.2ffe04c14d4589a64938a4eaf75524e1.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0038_jpg.rf.70936afe54a9d381acfc8842f5d65804.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0046_jpg.rf.038fc483a77107adc97902b572795d2c.jpg,pnorm,2440,1280,2440,1280,1.90625,1.90625,0,0,0,0,1,1,0
test,0051_jpg.rf.ff12a2017d2d1c8f455b488c90c0b2e4.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0052_jpg.rf.ecb15cb963ca6062da4f2d7d6c0455b8.jpg,pnorm,2440,1280,2440,1280,1.90625,1.90625,0,0,0,0,1,1,0
test,0057_jpg.rf.13608aee50b324616979f452369a5061.jpg,pnorm,1563,1024,1563,1024,1.5263671875,1.5263671875,0,0,0,0,1,1,0
test,0078_jpg.rf.84cf3ca1e6bd60447846cc65756afd6c.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,5,5,0
test,0088_jpg.rf.5e14c4f366d00eb0f48f5835e24adaaa.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0089_jpg.rf.fd211648eb97a6aa7582b6630dd1ccd5.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0092_jpg.rf.7a357ad45f573f99d54a01621696f296.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0095_jpg.rf.987b6d8095043ea211953025b0190750.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
test,0099_jpg.rf.accc47cd34bbe25147ea5345b1fe500f.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0100_jpg.rf.d50747c5b877a54915381bacd234cac9.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,4,4,0
test,0104_jpg.rf.01c8bc85f9ad5901a1559bf7406d186d.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0107_jpg.rf.1a832d17d9086b869415560731022487.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,3,3,0
test,0115_jpg.rf.b44a15fd6166db7c92eb13074a7fae81.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,1,1,0
test,0116_jpg.rf.75813fa7da75a109a021c030568b79ab.jpg,pnorm,1935,1024,1935,1024,1.8896484375,1.8896484375,0,0,0,0,2,2,0
