split,image,method,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback,x_low,x_high,y_low,y_high
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,energy,2950,1316,445,156,2069,989,1479.5,650.5,404,136,2555,1165,2151,1029,86.1695,8,0,False,0.1,0.9,0.08,0.94
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,energy,2884,1504,470,169,1953,1138,1446.5,738.0,431,146,2462,1330,2031,1184,102.9108,9,0,False,0.1,0.9,0.08,0.94
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,energy,2872,1504,416,186,2076,1162,1454.0,767.0,374,163,2534,1371,2160,1208,128.8234,9,0,False,0.1,0.9,0.08,0.94
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,energy,2846,1316,381,162,2070,1001,1416.0,662.5,340,142,2492,1183,2152,1041,114.8777,8,0,False,0.1,0.9,0.08,0.94
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,energy,2856,1316,479,163,1910,961,1434.0,643.5,441,144,2427,1143,1986,999,92.5768,8,0,False,0.1,0.9,0.08,0.94
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,energy,2964,1316,491,161,1988,985,1485.0,653.5,451,141,2519,1166,2068,1025,106.8098,8,0,False,0.1,0.9,0.08,0.94
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,energy,2906,1316,409,155,2112,1009,1465.0,659.5,367,135,2563,1184,2196,1049,92.554,8,0,False,0.1,0.9,0.08,0.94
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,energy,2964,1316,496,157,2004,985,1498.0,649.5,456,137,2540,1162,2084,1025,91.5872,8,0,False,0.1,0.9,0.08,0.94
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,energy,2884,1504,445,160,2024,1154,1457.0,737.0,405,137,2509,1337,2104,1200,109.8389,9,0,False,0.1,0.9,0.08,0.94
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,energy,2836,1316,451,173,1962,990,1432.0,668.0,412,153,2452,1183,2040,1030,115.4002,8,0,False,0.1,0.9,0.08,0.94
train,train_456_png.rf.7a7cfd458c7f97bc3553d8062425ad21.jpg,energy,2799,1316,422,159,1956,991,1400.0,654.5,383,139,2417,1170,2034,1031,93.0663,8,0,False,0.1,0.9,0.08,0.94
train,train_461_png.rf.d3810e70f4d3ffc85081a0759c4c7213.jpg,energy,2833,1316,474,167,1883,984,1415.5,659.0,436,147,2395,1171,1959,1024,91.9666,8,0,False,0.1,0.9,0.08,0.94
train,train_462_png.rf.e1496a51304cd58e360455482a170b7f.jpg,energy,2872,1504,479,196,1934,1128,1446.0,760.0,440,173,2452,1347,2012,1174,108.9357,9,0,False,0.1,0.9,0.08,0.94
train,train_463_png.rf.33fe6eda77ba094b01e30e3e81001bb8.jpg,energy,2824,1316,497,154,1833,997,1413.5,652.5,460,134,2367,1171,1907,1037,78.2966,8,0,False,0.1,0.9,0.08,0.94
train,train_474_png.rf.04ffbfc7de2eae4b093456a3496f7268.jpg,energy,2890,1316,503,163,1876,971,1441.0,648.5,465,144,2417,1153,1952,1009,76.8312,8,0,False,0.1,0.9,0.08,0.94
train,train_479_png.rf.5de2087d8b69ea10dc2bbdfa94c48544.jpg,energy,2872,1504,454,202,1986,1139,1447.0,771.5,414,179,2480,1364,2066,1185,103.2515,9,0,False,0.1,0.9,0.08,0.94
train,train_481_png.rf.48e0f165b7c95bc2031d4052a6045e36.jpg,energy,2480,1504,367,171,1691,1127,1212.5,734.5,333,148,2092,1321,1759,1173,112.4943,9,0,False,0.1,0.9,0.08,0.94
train,train_501_png.rf.977aeb65c869b4e2845974aea451199c.jpg,energy,2824,1316,531,148,1751,959,1406.5,627.5,496,129,2317,1126,1821,997,83.9704,8,0,False,0.1,0.9,0.08,0.94
train,train_523_png.rf.d9255186e9fb4722ac28c9e19a1e842b.jpg,energy,2942,1316,423,155,2077,980,1461.5,645.0,381,135,2542,1155,2161,1020,89.7113,8,0,False,0.1,0.9,0.08,0.94
train,train_531_png.rf.689ca61ec95823c5150877d8c289e4cd.jpg,energy,2872,1504,503,202,1911,1132,1458.5,768.0,465,179,2452,1357,1987,1178,121.1635,9,0,False,0.1,0.9,0.08,0.94
train,train_532_png.rf.60d070fc7ecca35b9d3fb2bf251649f1.jpg,energy,2868,1504,502,203,1908,1116,1456.0,761.0,464,181,2448,1341,1984,1160,116.9564,9,0,False,0.1,0.9,0.08,0.94
train,train_541_png.rf.1e6499e05fc89293037ba8e75e50b8a9.jpg,energy,2729,1316,449,152,1855,985,1376.5,644.5,412,132,2341,1157,1929,1025,83.1018,8,0,False,0.1,0.9,0.08,0.94
train,train_555_png.rf.da7af61f3ac0e933e39a584053e59389.jpg,energy,2828,1316,483,157,1875,954,1420.5,634.0,445,138,2396,1130,1951,992,84.9923,8,0,False,0.1,0.9,0.08,0.94
train,train_556_png.rf.55405705327056ec84fb5fd0977a32bf.jpg,energy,2727,1316,436,155,1864,997,1368.0,653.5,399,135,2337,1172,1938,1037,95.003,8,0,False,0.1,0.9,0.08,0.94
train,train_55_png.rf.2eb3212dfab0010f7048fd5ad519f818.jpg,energy,2872,1504,393,207,2110,1136,1448.0,775.0,351,184,2545,1366,2194,1182,121.0862,9,0,False,0.1,0.9,0.08,0.94
train,train_562_png.rf.639852eaab67f79ff62b20011ceb7148.jpg,energy,2868,1504,497,183,1901,1146,1447.5,756.0,459,160,2436,1352,1977,1192,104.8161,9,0,False,0.1,0.9,0.08,0.94
train,train_564_png.rf.b1615ecdbaad1d6ab549b56945a337a0.jpg,energy,1976,976,331,153,1232,671,947.0,488.5,306,140,1588,837,1282,697,192.8,6,0,False,0.1,0.9,0.08,0.94
train,train_56_png.rf.3344f6ea9e3f89112519aaf8384649ad.jpg,energy,2872,1504,459,181,1923,1160,1420.5,761.0,421,158,2420,1364,1999,1206,117.5167,9,0,False,0.1,0.9,0.08,0.94
train,train_575_png.rf.34895224cd7f3a44163fa6f9349d871a.jpg,energy,2556,1504,360,184,1787,1136,1253.5,752.0,324,161,2183,1343,1859,1182,111.3933,9,0,False,0.1,0.9,0.08,0.94
train,train_582_png.rf.620b69f3be5a991d87b1d444dc4638c4.jpg,energy,2977,1316,423,157,2040,974,1443.0,644.0,382,138,2504,1150,2122,1012,92.4132,8,0,False,0.1,0.9,0.08,0.94
train,train_583_png.rf.d6e24f614b06fce78c2be0d9574a2596.jpg,energy,2839,1316,403,165,2041,1015,1423.5,672.5,362,145,2485,1200,2123,1055,110.1866,8,0,False,0.1,0.9,0.08,0.94
train,train_592_png.rf.1dfb6348c2ce5f5fc8d152821ec21516.jpg,energy,2884,1504,478,196,1970,1141,1463.0,766.5,439,173,2487,1360,2048,1187,113.1952,9,0,False,0.1,0.9,0.08,0.94
train,train_596_png.rf.ddb44b078ca706a0fa438ebe8fe99604.jpg,energy,2812,1316,489,150,1816,998,1397.0,649.0,453,130,2341,1168,1888,1038,97.659,8,0,False,0.1,0.9,0.08,0.94
train,train_604_png.rf.34bff0d99bcabf26cb7b7176656fe415.jpg,energy,2867,1316,402,146,2102,997,1453.0,644.5,360,126,2546,1163,2186,1037,93.3106,8,0,False,0.1,0.9,0.08,0.94
train,train_621_png.rf.d7393d44ab843a8ce730c6ece3caca15.jpg,energy,3004,1316,456,151,2104,1010,1508.0,656.0,414,131,2602,1181,2188,1050,88.4901,8,0,False,0.1,0.9,0.08,0.94
train,train_622_png.rf.9e9a7a918c0aaf2c0df820a0e06d34ee.jpg,energy,2977,1316,331,153,2284,987,1473.0,646.5,285,133,2661,1160,2376,1027,108.4974,8,0,False,0.1,0.9,0.08,0.94
train,train_625_png.rf.6f1cbd35a1b0484838d5be0d619ae4e2.jpg,energy,2756,1316,472,149,1876,993,1410.0,645.5,434,129,2386,1162,1952,1033,81.7134,8,0,False,0.1,0.9,0.08,0.94
train,train_62_png.rf.fc728f3ecb9bac9ddbbf01cded87a1ca.jpg,energy,2867,1316,429,142,1982,983,1420.0,633.5,389,122,2451,1145,2062,1023,88.4308,8,0,False,0.1,0.9,0.08,0.94
train,train_637_png.rf.dfdee3027e34868c137e2e89b98d80ca.jpg,energy,3076,1536,544,177,1988,1116,1538.0,735.0,504,155,2572,1315,2068,1160,141.1357,10,0,False,0.1,0.9,0.08,0.94
train,train_644_png.rf.47bfac618c607e9be2f94aadd8a3fa69.jpg,energy,2899,1316,414,153,2056,1001,1442.0,653.5,373,133,2511,1174,2138,1041,77.5139,8,0,False,0.1,0.9,0.08,0.94
train,train_647_png.rf.d9880d01c0f25d22e748f009f2ae067d.jpg,energy,2935,1316,359,170,2218,1008,1468.0,674.0,315,150,2621,1198,2306,1048,99.7,8,0,False,0.1,0.9,0.08,0.94
train,train_670_png.rf.54e2b3cedb8d9dc3420f1c7f3ccda399.jpg,energy,2771,1316,471,155,1848,971,1395.0,640.5,434,136,2356,1145,1922,1009,88.3479,8,0,False,0.1,0.9,0.08,0.94
train,train_691_png.rf.b21bc597653535a852b25371b135c615.jpg,energy,2827,1316,537,158,1902,1006,1488.0,661.0,499,138,2477,1184,1978,1046,73.4649,8,0,False,0.1,0.9,0.08,0.94
train,train_696_png.rf.8a0bd3562857b82996d23d911f68b973.jpg,energy,2965,1316,293,175,2361,1005,1473.5,677.5,246,155,2701,1200,2455,1045,143.2382,8,0,False,0.1,0.9,0.08,0.94
train,train_77_png.rf.2b3c5a4811f1276f24498a8958e92c67.jpg,energy,2872,1504,488,189,1943,1157,1459.5,767.5,449,166,2470,1369,2021,1203,139.4386,9,0,False,0.1,0.9,0.08,0.94
train,train_7_png.rf.8ccd44834d1300df3acef61e548aa930.jpg,energy,2920,1316,312,139,2301,1014,1462.5,646.0,266,119,2659,1173,2393,1054,102.7715,8,0,False,0.1,0.9,0.08,0.94
train,train_81_png.rf.344fa225442cfe46a25db919336a43fa.jpg,energy,2860,1316,382,166,2107,991,1435.5,661.5,340,146,2531,1177,2191,1031,105.3213,8,0,False,0.1,0.9,0.08,0.94
train,train_82_png.rf.61a405934ee229ee7aa85ef9a0f10063.jpg,energy,2872,1504,474,179,1929,1169,1438.5,763.5,435,156,2442,1371,2007,1215,95.4217,9,0,False,0.1,0.9,0.08,0.94
train,train_91_png.rf.6bdeea2941e42e0b50752618e95cfc63.jpg,energy,2985,1316,421,175,2134,1000,1488.0,675.0,378,155,2598,1195,2220,1040,118.6602,8,0,False,0.1,0.9,0.08,0.94
train,train_9_png.rf.2f430b30b557521744d6eae50b813dab.jpg,energy,2872,1504,477,173,1932,1157,1443.0,751.5,438,150,2448,1353,2010,1203,121.7827,9,0,False,0.1,0.9,0.08,0.94
valid,train_115_png.rf.ec8711053dea7814151b87cb5357520e.jpg,energy,2897,1316,503,162,1940,997,1473.0,660.5,464,142,2482,1179,2018,1037,95.7428,8,0,False,0.1,0.9,0.08,0.94
valid,train_130_png.rf.631d7e5f2c044ec2f4da12c6b47e2579.jpg,energy,2821,1316,375,155,2077,990,1413.5,650.0,333,135,2494,1165,2161,1030,91.7163,8,0,False,0.1,0.9,0.08,0.94
valid,train_136_png.rf.fe4485399dbeb6d10cc97dcddbc448dd.jpg,energy,2852,1316,363,162,2167,983,1446.5,653.5,320,142,2573,1165,2253,1023,100.1801,8,0,False,0.1,0.9,0.08,0.94
valid,train_156_png.rf.bf0ead8b448e5631cf95efbc2bfabf3f.jpg,energy,2892,1316,308,154,2249,1006,1432.5,657.0,263,134,2602,1180,2339,1046,97.6861,8,0,False,0.1,0.9,0.08,0.94
valid,train_185_png.rf.795daacb019fdd448d524a40b11a36c4.jpg,energy,2894,1316,481,147,1942,986,1452.0,640.0,442,127,2462,1153,2020,1026,97.3301,8,0,False,0.1,0.9,0.08,0.94
valid,train_188_png.rf.ebf761f2ecc6c0218831fb281dde4b15.jpg,energy,2872,1504,452,192,1970,1136,1437.0,760.0,413,169,2461,1351,2048,1182,107.5749,9,0,False,0.1,0.9,0.08,0.94
valid,train_200_png.rf.ee490b379e304a08eca4b790b83f423a.jpg,energy,2936,1316,412,167,2169,978,1496.5,656.0,369,147,2624,1165,2255,1018,119.5663,8,0,False,0.1,0.9,0.08,0.94
valid,train_214_png.rf.c3012fff2957bc86efbd28aa9b98250d.jpg,energy,1976,976,318,130,1314,731,975.0,495.5,292,115,1658,876,1366,761,220.8,6,0,False,0.1,0.9,0.08,0.94
valid,train_254_png.rf.cbb8a3226257861a15b450fa27737632.jpg,energy,2876,1504,465,188,1985,1152,1457.5,764.0,425,165,2490,1363,2065,1198,127.4227,9,0,False,0.1,0.9,0.08,0.94
valid,train_267_png.rf.a38c7469184b36122add3836f565824e.jpg,energy,2858,1316,345,147,2171,973,1430.5,633.5,302,128,2559,1139,2257,1011,80.143,8,0,False,0.1,0.9,0.08,0.94
valid,train_281_png.rf.5b5d87910cd358fa94e12101c0a5bc61.jpg,energy,2836,1316,489,155,1868,987,1423.0,648.5,452,135,2394,1162,1942,1027,87.3305,8,0,False,0.1,0.9,0.08,0.94
valid,train_289_png.rf.50128c252c1285b438b69d8b62aec7e5.jpg,energy,2868,1504,428,199,2015,1118,1435.5,758.0,388,177,2483,1339,2095,1162,126.3987,9,0,False,0.1,0.9,0.08,0.94
valid,train_291_png.rf.4121513a849e9b704b6886bcb91b09b6.jpg,energy,2788,1316,453,157,1893,994,1399.5,654.0,415,137,2384,1171,1969,1034,94.0208,8,0,False,0.1,0.9,0.08,0.94
valid,train_294_png.rf.c766931e465938cb638c27c218a9895b.jpg,energy,2880,1316,483,151,1907,957,1436.5,629.5,445,132,2428,1127,1983,995,84.1482,8,0,False,0.1,0.9,0.08,0.94
valid,train_359_png.rf.c271944f17856d912d2b21548f2fea00.jpg,energy,2986,1316,324,166,2294,971,1471.0,651.5,278,147,2664,1156,2386,1009,100.5478,8,0,False,0.1,0.9,0.08,0.94
valid,train_488_png.rf.f23f8aa61e85b2be4d00fa1f8d3727b9.jpg,energy,2741,1316,355,154,2031,976,1370.5,642.0,314,134,2427,1150,2113,1016,92.1485,8,0,False,0.1,0.9,0.08,0.94
valid,train_597_png.rf.df13092f303aa3814117236eb6e9649b.jpg,energy,2723,1316,473,148,1804,978,1375.0,637.0,437,128,2313,1146,1876,1018,82.8331,8,0,False,0.1,0.9,0.08,0.94
valid,train_663_png.rf.06b7337f125cf0967596522defba0f49.jpg,energy,1976,976,349,130,1226,705,962.0,482.5,324,116,1600,849,1276,733,199.5806,6,0,False,0.1,0.9,0.08,0.94
valid,train_665_png.rf.86ee2471e21692ac569cac6a74c56ad2.jpg,energy,2929,1316,458,165,1978,994,1447.0,662.0,418,145,2476,1179,2058,1034,93.1528,8,0,False,0.1,0.9,0.08,0.94
valid,train_692_png.rf.eabb6a32fdb184cbaa26ee5b3436fd53.jpg,energy,2806,1316,474,157,1909,978,1428.5,646.0,436,137,2421,1155,1985,1018,95.0049,8,0,False,0.1,0.9,0.08,0.94
