split,source_image,tile_image,row,col,crop_x1,crop_y1,crop_x2,crop_y2,orig_w,orig_h,tile_w,tile_h,source_labels,parsed_boxes,tile_labels,source_boxes_assigned,source_boxes_dropped
train,data/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,data_quadrant/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b__r0c0.jpg,0,0,0,0,1697,790,2828,1316,1697,790,6,6,1,6,0
train,data/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,data_quadrant/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b__r0c1.jpg,0,1,1131,0,2828,790,2828,1316,1697,790,6,6,4,6,0
train,data/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,data_quadrant/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b__r1c0.jpg,1,0,0,526,1697,1316,2828,1316,1697,790,6,6,1,6,0
train,data/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,data_quadrant/train/images/train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b__r1c1.jpg,1,1,1131,526,2828,1316,2828,1316,1697,790,6,6,4,6,0
train,data/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,data_quadrant/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4__r0c0.jpg,0,0,0,0,1692,790,2820,1316,1692,790,1,1,1,1,0
train,data/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,data_quadrant/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4__r0c1.jpg,0,1,1128,0,2820,790,2820,1316,1692,790,1,1,0,1,0
train,data/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,data_quadrant/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4__r1c0.jpg,1,0,0,526,1692,1316,2820,1316,1692,790,1,1,1,1,0
train,data/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,data_quadrant/train/images/train_159_png.rf.b8041a04434c784fc017860a7838f0c4__r1c1.jpg,1,1,1128,526,2820,1316,2820,1316,1692,790,1,1,0,1,0
train,data/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,data_quadrant/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04__r0c0.jpg,0,0,0,0,1679,790,2798,1316,1679,790,1,1,0,1,0
train,data/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,data_quadrant/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04__r0c1.jpg,0,1,1119,0,2798,790,2798,1316,1679,790,1,1,1,1,0
train,data/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,data_quadrant/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04__r1c0.jpg,1,0,0,526,1679,1316,2798,1316,1679,790,1,1,0,1,0
train,data/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,data_quadrant/train/images/train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04__r1c1.jpg,1,1,1119,526,2798,1316,2798,1316,1679,790,1,1,1,1,0
train,data/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,data_quadrant/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248__r0c0.jpg,0,0,0,0,1689,790,2815,1316,1689,790,1,1,1,1,0
train,data/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,data_quadrant/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248__r0c1.jpg,0,1,1125,0,2815,790,2815,1316,1690,790,1,1,1,1,0
train,data/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,data_quadrant/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248__r1c0.jpg,1,0,0,526,1689,1316,2815,1316,1689,790,1,1,1,1,0
train,data/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,data_quadrant/train/images/train_187_png.rf.0a694f376c3615f979974a0778c33248__r1c1.jpg,1,1,1125,526,2815,1316,2815,1316,1690,790,1,1,1,1,0
train,data/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,data_quadrant/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b__r0c0.jpg,0,0,0,0,1717,790,2863,1316,1717,790,5,5,2,5,0
train,data/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,data_quadrant/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b__r0c1.jpg,0,1,1145,0,2863,790,2863,1316,1718,790,5,5,2,5,0
train,data/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,data_quadrant/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b__r1c0.jpg,1,0,0,526,1717,1316,2863,1316,1717,790,5,5,2,5,0
train,data/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,data_quadrant/train/images/train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b__r1c1.jpg,1,1,1145,526,2863,1316,2863,1316,1718,790,5,5,3,5,0
train,data/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,data_quadrant/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a__r0c0.jpg,0,0,0,0,1680,790,2800,1316,1680,790,1,1,1,1,0
train,data/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,data_quadrant/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a__r0c1.jpg,0,1,1120,0,2800,790,2800,1316,1680,790,1,1,0,1,0
train,data/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,data_quadrant/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a__r1c0.jpg,1,0,0,526,1680,1316,2800,1316,1680,790,1,1,1,1,0
train,data/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,data_quadrant/train/images/train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a__r1c1.jpg,1,1,1120,526,2800,1316,2800,1316,1680,790,1,1,0,1,0
train,data/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,data_quadrant/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8__r0c0.jpg,0,0,0,0,1846,922,3076,1536,1846,922,1,1,0,1,0
train,data/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,data_quadrant/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8__r0c1.jpg,0,1,1230,0,3076,922,3076,1536,1846,922,1,1,0,1,0
train,data/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,data_quadrant/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8__r1c0.jpg,1,0,0,614,1846,1536,3076,1536,1846,922,1,1,1,1,0
train,data/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,data_quadrant/train/images/train_196_png.rf.46fa1028b9036913173cb53071e99ea8__r1c1.jpg,1,1,1230,614,3076,1536,3076,1536,1846,922,1,1,1,1,0
train,data/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,data_quadrant/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7__r0c0.jpg,0,0,0,0,1750,790,2917,1316,1750,790,1,1,0,1,0
train,data/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,data_quadrant/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7__r0c1.jpg,0,1,1166,0,2917,790,2917,1316,1751,790,1,1,1,1,0
train,data/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,data_quadrant/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7__r1c0.jpg,1,0,0,526,1750,1316,2917,1316,1750,790,1,1,0,1,0
train,data/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,data_quadrant/train/images/train_206_png.rf.adab03495ab5a63473573f386a8915c7__r1c1.jpg,1,1,1166,526,2917,1316,2917,1316,1751,790,1,1,1,1,0
train,data/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,data_quadrant/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d__r0c0.jpg,0,0,0,0,1186,586,1976,976,1186,586,2,2,1,2,0
train,data/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,data_quadrant/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d__r0c1.jpg,0,1,790,0,1976,586,1976,976,1186,586,2,2,1,2,0
train,data/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,data_quadrant/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d__r1c0.jpg,1,0,0,390,1186,976,1976,976,1186,586,2,2,2,2,0
train,data/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,data_quadrant/train/images/train_21_png.rf.0bfd20929a68788a40b71e93e68a184d__r1c1.jpg,1,1,790,390,1976,976,1976,976,1186,586,2,2,1,2,0
train,data/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,data_quadrant/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d__r0c0.jpg,0,0,0,0,1723,790,2872,1316,1723,790,2,2,0,2,0
train,data/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,data_quadrant/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d__r0c1.jpg,0,1,1149,0,2872,790,2872,1316,1723,790,2,2,2,2,0
train,data/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,data_quadrant/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d__r1c0.jpg,1,0,0,526,1723,1316,2872,1316,1723,790,2,2,0,2,0
train,data/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,data_quadrant/train/images/train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d__r1c1.jpg,1,1,1149,526,2872,1316,2872,1316,1723,790,2,2,1,2,0
train,data/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,data_quadrant/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6__r0c0.jpg,0,0,0,0,1721,902,2868,1504,1721,902,2,2,1,2,0
train,data/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,data_quadrant/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6__r0c1.jpg,0,1,1147,0,2868,902,2868,1504,1721,902,2,2,1,2,0
train,data/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,data_quadrant/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6__r1c0.jpg,1,0,0,602,1721,1504,2868,1504,1721,902,2,2,2,2,0
train,data/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,data_quadrant/train/images/train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6__r1c1.jpg,1,1,1147,602,2868,1504,2868,1504,1721,902,2,2,2,2,0
train,data/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,data_quadrant/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab__r0c0.jpg,0,0,0,0,1716,790,2860,1316,1716,790,2,2,0,2,0
train,data/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,data_quadrant/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab__r0c1.jpg,0,1,1144,0,2860,790,2860,1316,1716,790,2,2,2,2,0
train,data/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,data_quadrant/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab__r1c0.jpg,1,0,0,526,1716,1316,2860,1316,1716,790,2,2,0,2,0
train,data/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,data_quadrant/train/images/train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab__r1c1.jpg,1,1,1144,526,2860,1316,2860,1316,1716,790,2,2,2,2,0
train,data/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,data_quadrant/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd__r0c0.jpg,0,0,0,0,1723,902,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,data_quadrant/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd__r0c1.jpg,0,1,1149,0,2872,902,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,data_quadrant/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd__r1c0.jpg,1,0,0,602,1723,1504,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,data_quadrant/train/images/train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd__r1c1.jpg,1,1,1149,602,2872,1504,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,data_quadrant/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6__r0c0.jpg,0,0,0,0,1721,902,2868,1504,1721,902,2,2,0,2,0
train,data/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,data_quadrant/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6__r0c1.jpg,0,1,1147,0,2868,902,2868,1504,1721,902,2,2,2,2,0
train,data/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,data_quadrant/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6__r1c0.jpg,1,0,0,602,1721,1504,2868,1504,1721,902,2,2,0,2,0
train,data/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,data_quadrant/train/images/train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6__r1c1.jpg,1,1,1147,602,2868,1504,2868,1504,1721,902,2,2,1,2,0
train,data/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,data_quadrant/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26__r0c0.jpg,0,0,0,0,1706,790,2844,1316,1706,790,1,1,1,1,0
train,data/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,data_quadrant/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26__r0c1.jpg,0,1,1138,0,2844,790,2844,1316,1706,790,1,1,0,1,0
train,data/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,data_quadrant/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26__r1c0.jpg,1,0,0,526,1706,1316,2844,1316,1706,790,1,1,1,1,0
train,data/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,data_quadrant/train/images/train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26__r1c1.jpg,1,1,1138,526,2844,1316,2844,1316,1706,790,1,1,0,1,0
train,data/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,data_quadrant/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb__r0c0.jpg,0,0,0,0,1772,790,2954,1316,1772,790,1,1,0,1,0
train,data/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,data_quadrant/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb__r0c1.jpg,0,1,1182,0,2954,790,2954,1316,1772,790,1,1,0,1,0
train,data/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,data_quadrant/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb__r1c0.jpg,1,0,0,526,1772,1316,2954,1316,1772,790,1,1,1,1,0
train,data/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,data_quadrant/train/images/train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb__r1c1.jpg,1,1,1182,526,2954,1316,2954,1316,1772,790,1,1,1,1,0
train,data/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,data_quadrant/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af__r0c0.jpg,0,0,0,0,1507,902,2512,1504,1507,902,2,2,2,2,0
train,data/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,data_quadrant/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af__r0c1.jpg,0,1,1005,0,2512,902,2512,1504,1507,902,2,2,0,2,0
train,data/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,data_quadrant/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af__r1c0.jpg,1,0,0,602,1507,1504,2512,1504,1507,902,2,2,2,2,0
train,data/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,data_quadrant/train/images/train_301_png.rf.1035d42dd6d013869faf583a86b815af__r1c1.jpg,1,1,1005,602,2512,1504,2512,1504,1507,902,2,2,0,2,0
train,data/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,data_quadrant/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824__r0c0.jpg,0,0,0,0,1723,902,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,data_quadrant/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824__r0c1.jpg,0,1,1149,0,2872,902,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,data_quadrant/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824__r1c0.jpg,1,0,0,602,1723,1504,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,data_quadrant/train/images/train_31_png.rf.7882a35de62b7a0885e02eff3065b824__r1c1.jpg,1,1,1149,602,2872,1504,2872,1504,1723,902,1,1,1,1,0
train,data/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,data_quadrant/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd__r0c0.jpg,0,0,0,0,1789,790,2983,1316,1789,790,2,2,0,2,0
train,data/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,data_quadrant/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd__r0c1.jpg,0,1,1193,0,2983,790,2983,1316,1790,790,2,2,1,2,0
train,data/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,data_quadrant/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd__r1c0.jpg,1,0,0,526,1789,1316,2983,1316,1789,790,2,2,1,2,0
train,data/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,data_quadrant/train/images/train_332_png.rf.49523164500fc314c94bc08114c8c2dd__r1c1.jpg,1,1,1193,526,2983,1316,2983,1316,1790,790,2,2,1,2,0
train,data/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,data_quadrant/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8__r0c0.jpg,0,0,0,0,1765,790,2942,1316,1765,790,1,1,0,1,0
train,data/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,data_quadrant/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8__r0c1.jpg,0,1,1177,0,2942,790,2942,1316,1765,790,1,1,0,1,0
train,data/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,data_quadrant/train/images/train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8__r1c0.jpg,1,0,0,526,1765,1316,2942,1316,1765,790,1,1,1,1,0
